audio_path,label,cat_id,status,notes
data/raw/dataset/B_ANI01_MC_FN_SIM01_101.wav,brushing,ANI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_ANI01_MC_FN_SIM01_102.wav,brushing,ANI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_ANI01_MC_FN_SIM01_103.wav,brushing,ANI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_ANI01_MC_FN_SIM01_301.wav,brushing,ANI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_ANI01_MC_FN_SIM01_302.wav,brushing,ANI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_ANI01_MC_FN_SIM01_303.wav,brushing,ANI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BAC01_MC_MN_SIM01_101.wav,brushing,BAC01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BAC01_MC_MN_SIM01_102.wav,brushing,BAC01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BAC01_MC_MN_SIM01_103.wav,brushing,BAC01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BAC01_MC_MN_SIM01_202.wav,brushing,BAC01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BAC01_MC_MN_SIM01_301.wav,brushing,BAC01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BAC01_MC_MN_SIM01_303.wav,brushing,BAC01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_101.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_104.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_105.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_106.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_301.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_302.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRA01_MC_MN_SIM01_303.wav,brushing,BRA01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_101.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_102.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_201.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_202.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_301.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_302.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_BRI01_MC_FI_SIM01_303.wav,brushing,BRI01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_101.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_102.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_103.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_104.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_105.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_201.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
data/raw/dataset/B_CAN01_EU_FN_GIA01_202.wav,brushing,CAN01,valid,label from official CatMeows filename; cat_id from official CatMeows filename
